About,Title,Creation Date,Issued Date,Publication Date,Creator,Content type,Description,Keywords,Sectors,Climate impact,Transnational regions,Adaptation Approaches,Funding programme,Key type measure,Countries,Origin website,Health impacts,Observatory impacts
https://climate-adapt.eea.europa.eu/en/metadata/case-studies/online-training-in-climate-change-and-health-for-the-public-health-and-wider-health-workforce-in-europe,Online training in climate change and health for the public health and wider health workforce in Europe,2024-10-23T08:37:24+00:00,2024-10-23T08:50:23+00:00,2024-10-23,moskysas,Case study,"All official European Union website addresses are in the europa.eu domain.See all EU institutions and bodies
An open online course on the interplay between climate change and health, by the Association of Schools of Public Health in the European Region (ASPHER) and the Global Consortium on Climate and Health Education (GCCHE), built capacity and enhanced the climate-health literacy of the public health and wider health professionals in the Europe.
The climate change crisis is a public health emergency, making it critical for the public health and wider health workforce to have a strong educational foundation on climate change. Health professionals need to be able to identify, prevent, respond to and prepare for its effects on human health, while also developing strategies for mitigation and adaptation for health systems. In early 2024, ASPHER and the GCCHE launched the European Climate and Health Responder Course, freely accessible to participants. The 'Climate and Health Responder Course' is part of a global flagship initiative by GCCHE and its partners to educate interdisciplinary professionals on the impacts of climate change on health. The course was targeted at public health and health professionals and trainees from the European region who had limited understanding of climate impacts on health.
Case Study Description
Challenges
In Europe, rising temperatures have led to an increase in extreme heat and wildfires during the summer months, which has impacted population health, both in terms of morbidity and mortality, as well as health systems. Changes in precipitation patterns and extreme weather events, including floods and storms, have also become increasingly common and severe for the past few years, leading to human health impacts, which include casualties, injuries, displacement, waterborne diseases, as well as mental health impacts (EEA, 2024).
The climate-health crisis calls for immediate and robust action to increase resilience of the health systems. One strategy is strengthening the education and training programs for health professionals. Public health and the wider health workforce require core training and continuous professional development to improve their understanding of the impact of climate change on health and the health co-benefits of climate mitigation and adaptation measures. As trusted voices on population health and wellbeing, public health and healthcare professionals have a responsibility to protect individuals and communities against the negative health effects of climate change. Enhancing climate-health literacy among public health professionals and the broader health community requires a new approach to healthcare education to prepare the workforce for current and future impacts. Beyond public health schools, the call for updated curricula also extends to continuing professional education.
Overall, it is clear that a coordinated approach to climate-health education is needed, with consideration of health co-benefits that can reduce climate-related health impacts. In the European region, there is a lack of a systematic integration of climate-health concepts into health curriculum. In 2021, ASPHER conducted a Climate-Health Education survey among their schools of public health membership, finding that only 64% of public health schools offered some form of climate-health education, however, the extent was unclear. Schools of public health reported barriers to climate-health education, such as lack of funding and expertise on the subject. In an already overloaded public health curriculum, climate-health competencies were difficult to integrate. In continuing professional education, there are similar challenges, such as finding the time for training and covering its cost. Thus, the demand for climate-health education outweighs the availability of courses.
Policy and legal background
In July 2023, the WHO European region member countries adopted the declaration of the Seventh Ministerial Conference on Environment and Health organised by WHO Europe in July 2023 in Budapest (""The Budapest Declaration""). The countries committed to, among other things, strengthen the climate-literacy of health professionals to empower them to respond to climate health impacts and engage meaningfully on climate change policy development in the health sector. In addition, the countries that signed the COP28 UAE Declaration on Climate and Health in December 2023 committed to improving the ability of health systems to anticipate and implement climate adaptation interventions by a climate-ready health workforce.
Efforts in climate-health education were stirred by ASPHER’s 2022 joint statement through the EU Health Policy Platform initiative, “Moving towards the right to ‘health for all’ by training the public health and wider health workforce on climate change and health”, which is endorsed by over 80 academic institutions and health professional organisations. The EU Health Policy Platform is an interactive tool of the European Commission that aims to stimulate discussion about public concerns, and provide an easy way for stakeholders to share knowledge and good practices for the future of public health. In 2021, ASPHER was nominated as the leader for the thematic network, “climate action through public health education and training”, demonstrating the shared desire for workforce training and building capacity.
The joint statement elevated the policy environment for climate-health education, with two specific calls, i.e., to intensify the investment in interdisciplinary education and training for public health and healthcare professionals in existing curricula [Action 4], and to build climate resilience, climate-health literacy and political literacy [Action 5]. Earlier, ASPHER had already released the 2021 Climate and Health Competencies for Public Health Professionals in Europe. In 2023, an updated competencies report was launched by the GCCHE. The competencies have provided the guidance and starting points for Schools of Public Health to integrate climate-health literacy into their existing curriculums. ASPHER also produced a statement at COP28, A Call for Action in Seven Points that emphasized the importance of training and capacity building in climate change and health for multiple stakeholders. Additionally, multiple actors have highlighted the importance of more education and training of public health and wider healthcare professionals and students on climate change.
Policy context of the adaptation measure
Case developed and implemented as a climate change adaptation measure.
Objectives of the adaptation measure
The goal of the European Climate and Health Responder Course was to engage and educate the public health and wider health research, practice, policy, and academic communities with a basic introduction to climate-health literacy. Through the course, participants would become more aware of current and future events climate impacts on health, enhancing their engagement in advocacy, policy, and research to inform evidence-based health decisions across the sectors.
Specific goals included:
- To build and train a network of experts on climate change and health in the European Region via an open-education strategy, where course materials can be re-used and redistributed to support educators.
- To strengthen the climate-health literacy of health professionals through case studies of implemented responses to climate-related health risks and impacts across the European Region.
- To enhance the knowledge, confidence, and communication abilities of current and future health professionals to act on climate and health, improving population care and public health practice and serving as credible advocates.
Adaptation Options Implemented In This Case
Solutions
In early 2024, ASPHER and the GCCHE launched the European Climate and Health Responder Course, freely accessible to participants. The 'Climate and Health Responder Course' is part of a global flagship initiative by GCCHE and its partners to educate interdisciplinary professionals on the impacts of climate change on health. The course was targeted at public health and health professionals and trainees from the European region who had limited understanding of climate impacts on health.
For 10 weeks, the course offered a weekly live, virtual session of 90 minutes, which included a lecture followed by two case studies and a Q&A session. Each lecture covered a specific topic of the climate-health nexus and was delivered in English. All resources of the course, including session recordings, slide decks, and course readings, were provided as an open education resource, available after the session to all registered participants.
The sessions were built around the following ten topics:
Participants were required to attend at least 70% of the course and pass the final exam with a score of at least 70% to obtain a Certificate of Participation from both ASPHER and GCCHE. Approximately 4,600 individuals from different European countries and outside Europe registered for the first edition of the course. The high interest and diverse backgrounds of participants across healthcare and public health demonstrates the widespread demand for skills and knowledge on climate change and health and the need for free, accessible training on the topic. At the end of the course (in April 2024), more than 850 participants successfully passed the final exam and received a certificate of completion.
The course evaluation consisted of a longitudinal survey during registration and at the end of the course, as well as a weekly evaluation survey. The survey assessed the effectiveness of the training course in influencing professional behaviour related to climate and health communication, application of climate and health knowledge, and engagement in addressing climate and health risks. Participants were asked to reflect on the topic’s effectiveness, delivery, potential practice changes, leadership in adaptation and mitigation initiatives, self-evaluation of skills gained, confidence in using these skills, and areas for improvement.
Given the high demand, the course is tentatively planned to be repeated on a yearly basis. At the same time, the materials are available as open education access, respectively accessible to those interested in building their climate-health literacy at any given time. ASPHER and the GCCHE have considered the development of regionally relevant courses tailored to different areas of the health sector in the future.
Additional Details
Stakeholder participation
The European Climate and Health Responder Course was developed by ASPHER and the GCCHE. The course was developed as part of the ongoing collaboration between these organisations.
ASPHER is a membership based organisation open to organisations within the WHO European Region, including schools of public health and professional public health associations. Individuals involved are experts in the public health and medical health fields. In 2022, ASPHER set up the Climate-Health Working Group to refine the needs of the health workforce regarding climate and health education. The working group is composed of public health practitioners, academics, leaders, and young professionals who are members of ASPHER’s Young Professional Programme. A sub-working group was established specifically to support the collaboration with the GCCHE.
In the sub-working group for the EU Responder Course, the GCCHE provided weekly guidance on the structure and technicalities of the course development. The course involved guest lecturers across different organisations and schools of public health, including the World Health Organization, the European Climate and Health Observatory, and the Global Climate and Health Alliance (GCHA), drawing on ASPHER's networks. The sub-working group identified the speakers for the weekly topics, which allowed learning from experts and raising awareness about the different stakeholders working in climate-health across Europe. This provided an opportunity to strengthen relationships across the organisations involved in the course.
The enrolment rates of participants was relatively balanced across clinical health, public health, and community care. Some participants came from other professions (e.g. architecture, chemical engineering, horticulture and warehouse management), demonstrating the wide interest in a broader course that is applicable to all backgrounds. Although the course was targeted at practitioners, it was also promoted to students at different universities and schools of public health. Over 1,695 of course participants were university students.
Lastly, important stakeholders of the course were the member schools that offered the financial support for the course:
- Ecole des Haute en Sante Publique (France)
- NOVA National School of Public Health (Portugal)
- SSPH+ Swiss School of Public Health (Switzerland)
- Erasmus School of Health Policy and Management (Netherlands)
- Lietuvos Sveikatos Mokslų Universitetas (Italy)
Success and limiting factors
Success factors:
In Europe, ASPHER is a recognized leader across public health training and education development, and its membership and the established Climate-Health Working Group provided the means for convening a sub-group to voluntarily work on the development of the course on a weekly basis.
GCCHE is recognized as a global leader in providing free, climate and health education courses. Prior to the European Responder Course, GCCHE has deployed several courses in North American, Latin America, the Caribbean and Southeast Asia. GCCHE has trained more than 20,000 people from 167 countries. GCCHE’s extensive network of individuals and the 300+ institutions from 60+ countries were also enablers for success for the high enrolment of participants. Furthermore, the experience of hosting courses, the existing supports of technical needs, as well as full-time staff, contributed to the long-term success of their course offerings.
Building on GCCHE’s experiences, the weekly 90-minutes sessions were delivered via Zoom, the dates and time taking into account national holidays and time zone differences within Europe. Additionally, the content was tailored specifically for Europe, with case studies spread across the European Region.
The wide success of the course was also highly attributed to ASPHER/GCCHE sub-working group team members who worked closely with the guest speakers to ensure the delivery of content fitting the course syllabus.
Limitations:
Due to limited funding, the course was only available in English. To support the participants with less advanced English, captions were enabled for the live sessions. The Zoom chat was monitored by the ASPHER moderators and GCCHE technical support team throughout the session to provide further explanations if needed. At the beginning of each session, the moderator shared these instructions, to make sure that the participants felt supported.
The location of the GCCHE office in North America and the time difference in relation to Europe resulted in some scheduling challenges, which were resolved by the willingness in both GCCHE and ASPHER to adjust. The course was also impacted by daylight savings time, creating confusion for participants. The team sent a reminder to participants prior to the first session after the time change and the participants were encouraged to add the course schedule to their calendars. Exceptionally, lateness was not penalised for participants who joined late during the week of daylight savings.
Another limitation was catering for a broad audience with varying levels of prior knowledge and experience of climate-health issues and different cultural contexts, thus an approach of starting with the basics was chosen. For future initiatives, narrowing down the target group will be considered. It has been debated whether to adapt the current general course outline to align it with more specific competencies as well as to the ASPHER curriculum that is to be released in late 2024. Future editions of the course are dependent on the capacity of the ASPHER/GCCHE sub-working group.
Costs and benefits
Costs:
Developing a new initiative requires time and resources, posing the difficulty with long-term sustainability. Through the collaborative partnership with the GCCHE, ASPHER can manage the course in a sustained way. The GCCHE support has been vitally important, not only from the perspective of not re-inventing the wheel but harnessing both organisations’ visions and goals was vital in strengthening the capacity and awareness of the role of health professionals in climate change. Through the support of the GCCHE, the online platform was provided in-kind through their organisation support. The GCCHE has the provisions with full-time staff and resources to supporting the online registration process, weekly surveys and the final exam.
ASPHER’s sub-working group contributed their time voluntarily, driven by their passion for climate-health education. To share the workload, each team member moderated 1 or 2 weekly topic sessions. Funds provided by ASPHER member schools supported the content development and presentations by speakers. Furthermore, ASPHER is supported by the Young Professional Programme, which involves students and early-career individuals, passionate about climate-health. The sub-working group involved voluntary representation from the Young Professionals to ensure the content material was relatable to the new generation and health workforce.
Benefits:
Through the diverse support from ASPHER’s Schools of Public Health across different European countries, the course offers a unique regional perspective. Participants gained a comprehensive understanding of the interplay between climate change and health in Europe drawing on the latest evidence and practice. With a stronger educational foundation, which enhances their climate-health literacy, participants have the practical skills for identifying, preventing, and responding to health impacts of climate change. This increases their professional competence and enhance their career opportunities. Indirectly, the course provided a networking opportunity. Participants shared their names and affiliate organisations in the chat at the beginning of each session, fostering exchange of ideas and collaborations.
Educating the public health and health workforce on climate change equips them to contribute to building more resilient communities that can better withstand and adapt to climate-related challenges. Climate-informed health professionals are better positioned to influence policy and advocate for public health measures that address climate change, as well as raise public awareness of the impacts and encourage preventive measures, supporting a climate-resilient health system.
Implementation time
Developing the course began in May 2023, and was done in five phases, which lasted approximately two months each:
Phase 1: Developing a set of best practices for the working group between the ASPHER and the GCCHE to identify roles, vision, and expectations
Phase 2: Competencies, Curriculum, and Intended Learning Outcomes
Phase 3: Content Development for Lecturers & Case Studies
Phase 4: Course live sessions (February - April 2024)
Phase 5: Course Evaluation & Dissemination
Lifetime
The interest in the European Responders Course with (over 4,600 registered participants) the partnership between ASPHER and GCCHE is planned to continue and expand over the next few years. The ASPHER Climate and Health Working Group is currently planning to develop further specialised courses for targeted groups of health professionals.
Training the public health and wider health professionals can improve their preparedness to tackle the climate-health challenges over the curse of their career. The course content is fully available online as an open education resources, accessible at any time.
Reference Information
Contact
Tara Chen
Climate-Health Fellow, the Association Schools of Public Health in the European Region
E-mail: tara.chen@aspher.org
E-mail: office@aspher.org
Websites
References
ASPHER Joint Statement (2022). Moving towards the right to ‘health for all’ by training the public health and wider health workforce on climate change and health.
ASPHER Climate and Health Competencies for Public Health Professionals in Europe. (2021). https://www.aspher.org/download/882/25-10-2021-final_aspher-climate-and-health-competencies-for-public-health-professionals-in-europe.pdf
GCCHE Climate and Health Core Concepts for Health Professionals. (2023). https://www.publichealth.columbia.edu/file/11940/download?token=ILZgbU2L
Published in Climate-ADAPT: Oct 23, 2024
Please contact us for any other enquiry on this Case Study or to share a new Case Study (email climate.adapt@eea.europa.eu)
Language preference detected
Do you want to see the page translated into ?

","Health,Health professionals,Education,climate health literacy,professional development",Health,Non specific,,"Adaptation Measures and Actions,Just Resilience,Societal aspects",,,,,-NONSPECIFIC-,
https://climate-adapt.eea.europa.eu/en/metadata/case-studies/community-led-partnership-for-coastal-restoration-in-the-maharees-peninsula-ireland,"Community-led partnership for coastal restoration in the Maharees peninsula, Ireland",2025-10-10T12:14:04+00:00,2025-10-13T08:27:10+00:00,2025-10-10,castechi,Case study,"All official European Union website addresses are in the europa.eu domain.See all EU institutions and bodies
© Huw Roberts
Facing pressures from climate change and growing tourism flows, the Maharees Conservation Association was formed. This community-led partnership brings together different stakeholders and successfully implemented a range of nature-based solutions to strengthen the long-term resilience of the Maharees Peninsula.
The Maharees (Na Machairí) is a 5 km long natural tombolo, i.e. a sandy deposition landform by which an island becomes attached to the mainland. It is located on the north side of the Dingle peninsula in County Kerry (Ireland), and has a year-round population of 310 inhabitants. The area is predominantly composed of sandy beaches and dunes which host unique and protected species and habitats. In the summer months, the Maharees tombolo is popular for tourism and recreational activities such as windsurfing, paddle boarding, diving, horse riding and kayaking. The Maharees Peninsula also features a rich cultural heritage.
The low-lying tombolo is affected by coastal erosion which had been exacerbated by tourism and climate change. In response, the Maharees Conservation Association was founded by the local community in 2016. With the help of a range of state agencies, the local authority Kerry County Council, academic institutions and NGOs, the community group has pioneered a series of collaborative nature-based solutions (e.g. marram grass planting, fencing) to harness many environmental, economic and social benefits. This was combined with educational activities and initiatives for promoting “regenerative tourism”, a form of sustainable tourism focusing not just on minimising harm but on actively restoring ecosystems, supporting local communities, and creating long-term value. The community-led dune conservation work resulted in a significant improvement of the ecological status of the coastal area along the peninsula. Dune fencing also resulted in reduced sand deposition along the road that provides access to the area. All interventions have been supported by a programme of community-led events and experiences to highlight the conservation work and maximise awareness about the fragility and importance of the dunes amongst the resident and visiting community.
Case Study Description
Challenges
The Maharees peninsula is highly vulnerable to the impacts of climate change. According to the National Risk Assessment 2024 for Ireland, the frequency and intensity of extreme weather events and natural disasters will change due to climate change. Updated high-resolution Climate Projections for Ireland indicate that autumn and winter will become wetter (increases of up to 10% for SSP5-8.5, 2071–2100), while summer is projected to become drier (decreases of 8% for SSP5-8.5, 2071–2100). In addition, substantial increases in heavy rainfall events are expected. The number of intense storms is projected to increase over the North Atlantic Region, and storm surges could occur more often. In combination with sea level rise, there is a higher risk for coastal flooding (see the Climate Change Sectoral Adaptation Plan for Flood Risk Management). Larger waves, which have reportedly already increased by 0.8 m in height per decade also contribute to increasing risks for coastal communities. Coastal erosion is therefore likely to accelerate in the coming years.
The dune system of the Maharees, which protects the tombolo from storm surges and blowing sand deposits, has already retreated by more than 40m over the past decades. Increasing storm frequency and intensity and sea level rise will lead to the exacerbation of erosional pressures. The inhabitants of the Maharees Peninsula rely on a single access road, which has in the past frequently been blocked due to sand deposition. Without adequate adaptation efforts there is a risk for more frequent road interruptions. The cultural heritage of the Maharees notably includes a church and a graveyard which date back to the 13th/14th century. This heritage has been severely damaged during a storm event in 2012. Climate hazards such as coastal erosion and flooding put the conservation of this ecclesiastical site at risk.
Growing tourism activities are an additional challenge. Especially during the summer months, a large number of short-term visitors is attracted by the opportunities for water recreational activities on the Maharees peninsula. Climate change increases the tourism potential through warmer summers. A historic lack of visitor management and tourist facilities (such as car parks) led to traffic congestion. The increasing number of people accessing the shoreline resulted in the degradation of the fragile dune ecosystem, and led to unease between the local community and visitors.
The combined pressures from coastal erosion and tourism, exacerbated by climate change, present a serious threat to the livelihood and the ecosystems of the Maharees peninsula.
Policy and legal background
The Maharees Peninsula is characterized by diverse coastal habitats such as sand dunes, tidal mudflats, Atlantic salt meadows and estuaries. The intertidal habitats support an internationally important number of wintering birds. Therefore, the Maharees Peninsula is part of a Special Area of Conservation (Tralee Bay and Magharees Peninsula, West to Cloghane SAC) according to the EU Habitats Directive since 2002. Parts of the Peninsula are also protected under the EU Birds Directive (Tralee Bay Complex SPA, Dingle Peninsula SPA). Accordingly, legal obligations apply to avoid any deterioration or disturbance of the protected habitats and species. Cultural heritage is protected under the National Monuments Act 1930-2014.
The responsibility for coastal management in Ireland is fragmented and lies within numerous departments and public bodies with individual policy objectives and legislation. A specific site management plan is lacking. These challenges need to be addressed at the relevant governance levels to decrease the vulnerability of the coastal communities.
Policy context of the adaptation measure
Case partially developed, implemented and funded as a climate change adaptation measure.
Objectives of the adaptation measure
The measures implemented by the Maharees Conservation Association address the challenges encountered by the local community. In particular, they aim to:
- Preserve the ecosystem (restore the protective sand dunes, prevent wild camping, illegal parking, fire and waste dumping, control or restrict the access to vulnerable areas).
- Preserve the attractiveness of the area for sustainable tourism (prevent sand deposition that leads to the blockage of the only road to access the Peninsula, foster “regenerative tourism” to restore and enhance natural, social and economic capital, offer opportunities for visitors to be engaged in the preservation of the dune ecosystem, preserve the tangible and intangible cultural heritage).
- Foster a participatory governance to manage the coastal area in a sustainable way (build partnerships with local, regional and national stakeholders, promote bottom-up approaches to coastal restoration, design a community-led vision and a climate adaptation plan, raise awareness about the fragility of the dune ecosystems among locals and visitors).
Adaptation Options Implemented In This Case
Solutions
In response to a lack of coordinated coastal management, the Maharees Conservation Association was founded by the local community in 2016. It involves a diverse range of stakeholders from hospitality business, tourism, farming, education and other sectors. Additionally, the association has built partnerships with local councils, national agencies, NGOs and research institutions. This has enabled the Maharees Conservation Association to address the increasing environmental and socio-economic pressures on the Maharees Peninsula, by implementing a number of community-led solutions, such as:
· Dune fencing:
Wind-blown sand deposition frequently blocked the access road to the Maharees Peninsula and this is expected to worsen with increasingly frequent and severe storms due to climate change. Thus, the Maharees Conservation Association installed dune fences along the base of the sand dunes with the help of local volunteers. The fencing has successfully prevented sand deposition, and the road has not been blocked after the intervention. In addition, the fences prevent human interference with the dune vegetation and thus protect the integrity of the dune system. However, the solutions require constant maintenance efforts as they have to be dug out or replaced.
· Marram grass planting:
Unmanaged access, parking, wild camping, fires and waste dumping led to significant dune degradation. The dunes were successfully restored through marram grass planting. Marram grass (Ammophila arenaria) is a plant with matted roots that naturally stabilises sand dunes. The restored dunes play a key role in increasing the resilience of the coastal area to climate change, acting as a barrier to storm surges, reducing flooding in the hinterland and mitigating coastal erosion. Since marram grass is a valuable habitat for other species, this nature-based solution has also contributed to enhance the biodiversity of the dunes. Wide participation from schools, locals and visitors in the marram planting ensured the successful implementation of the solution. Additionally, volunteers supported the continued maintenance activities multiple times each year. The environmental NGO Clean Coasts supported the restoration of the dunes through on-site training of community members.
· Awareness raising and education:
Diverse initiatives, such as community training events, education material, signage and guided walks, supported by the Kerry Education and Training Board, enable locals and visitors to learn about the unique natural heritage of the Maharees Peninsula. The Maharees Conservation Association also cooperates with Munster Technological University (MTU) lecturers and students to implement awareness raising events and educational activities on endangered plants and animal species and regenerative tourism. These educational initiatives aim to increase the understanding of the impacts of climate change and build awareness about the fragility and importance of the dune ecosystem. They favour behavioural shifts and increased involvement of the local community and visitors in biodiversity protection. In addition, this serves to build relationships between visitors and the local community and enhances the visitor experience of the destination.
· Preservation of Cultural heritage:
A range of actions has been taken to preserve the cultural heritage of the Maharees in the light of climate change and of rising tourism visit numbers. For raising awareness among visitors and locals, the Maharees heritage trail has been developed. The audio-guided tour, available as a smartphone app, allows to experience the rich natural and cultural heritage of the Maharees peninsula. In the summer months, the Maharees Conservation Association regularly organises a series of events related to natural and cultural heritage. Another initiative focused on documenting the traditional placenames, which revealed the close relationship between the community and its immediate environment. The built heritage is especially at risk from climate hazards. The research project SEA-CCHange, funded by the national government, focused on a historic graveyard and highlighted that coastal erosion and flooding will lead to further degradation of the site. Therefore, the association has successfully applied for the Adopt a Monument Programme organised by the Heritage Council. In the coming years, various actions are planned to preserve the Kilshannig Church and graveyard. It is also aimed to acquire funding for a full or partial reconstruction of the church gable which was damaged in 2012.
· Visitor management:
Without adequate management, the high number of visitors in the summer season had led to wild parking and congestion, with negative impacts on the local community and the Maharees dune ecosystem. This had been exacerbated by the lack of visitor facilities (such as parking areas). To address this challenge, a summer car park with access to the beach was established with support from the local authority and a local land owner. It was accompanied by marking, signposting, and a system to report illegal activities such as littering, illegal parking, camping or unauthorised access to protected areas. These activities contribute to protect the fragile dune ecosystem.
· Research:
The Maharees Conservation Association has built partnerships with universities, in particular with the University of Galway and the Munster Technological University (MTU). The collaboration with researchers provides the evidence base to implement effective solutions, and facilitates monitoring and evaluation. Drone images and measurements of erosion and accumulation demonstrate the progress in restoring the dune ecosystem. Surveys of residents and visitors have been carried out to increase understanding of the short- and long-term coastal evolution of the peninsula and to identify challenges and solutions. Moreover, a Coastal Erosion and Flood Risk Management Study, commissioned by the local authority (Kerry County), is nearing completion. It includes a medium to long-term prognosis for the tombolo and suggests a range of measures to protect it. The collaboration with research institutions has supported awareness raising through community and visitor engagement experiences.
Additional Details
Stakeholder participation
The success of the Maharees Conservation Association is rooted in the participation of a range of stakeholders. The local community is at the heart of the initiative and plays a central role in both the decision-making and implementation process. The association is a non-profit organisation and registered charity which aims to protect Maharees and its heritage for the benefit of the local community and visitors alike. All members have the right to participate in decision-making, and the elected committee is composed of volunteers from diverse backgrounds, ensuring representation across various social and economic groups.
Community training events have been organised to enable learning about the sand dune habitats and management opportunities, and encourage locals and visitors to participate in the protection of the Maharees Peninsula. The implementation of the solutions has been supported through local fundraising efforts.
The support of several research institutions facilitated the selection of appropriate solutions as well as the evaluation of the outcomes. Additionally, the Maharees Conservation Association also fostered collaboration with public authorities including the Kerry County Council, the National Parks and Wildlife Service (NPWS) and the Office of Public Works (OPW). These institutions provided approval for the implementation of nature-based solutions as well as financial support.
Success and limiting factors
Several factors were decisive for successfully initiating and implementing community-led approaches to coastal management on the Maharees Peninsula. The involvement of local stakeholders from diverse backgrounds, ranging from tourism, the hospitality business, farming and education, ensured the representation of different economic and social interests. Strong social cohesion between different members of the community was fostered though the planning of and participation in activities such as fencing or marram grass planting. The support of the local community is a key success factor, as it allows for a higher flexibility in responding to urgent challenges outside the standard working hours. Moreover, the local knowledge of the stakeholders enables to monitor the solution effectively.
Building trustful partnerships with public authorities (e.g. Kerry County Council, National Parks and Wildlife Service) formed the basis for pilot testing of innovative solutions. These partnerships provided access to technical and financial support and helped to align climate change adaptation initiatives with broader policy objectives, such as biodiversity protection and sustainable tourism. The evidence base for the implementation of several solutions was built through the collaboration with universities. The challenges for the Maharees Peninsula were effectively addressed through nature-based solutions. Additionally, awareness-raising (e.g. guided tours, educational material, social media) resulted in significant behavioural change among visitors and locals. A recent collaboration with the Dingle Hub and Creative Ireland called Neart na Machairí supported community-led climate adaptation planning through creativity.
The Maharees Conservation Association is also actively engaged in exchanging knowledge and experiences with other coastal communities, e.g., by presenting the learnings at conferences, fostering public outreach, and directly engaging with other coastal communities at site visits, thus facilitating replication. By 2025, 25 coastal communities in Ireland were engaged in this process.
However, the efforts to build coastal resilience are hindered by the lack of a holistic coastal management instrument and insufficient systematic support of community-led initiatives from higher governance levels. The management of the Irish coast remains fragmented, with numerous departments and public bodies having a remit in the coastal area. This results in conflicting policy objectives and gaps in the coherence between local, regional and national governance levels. In addition, the Maharees Conservation Association initiative relies heavily on the commitment of local volunteers and external funding sources. Strengthening long-term resilience of the Maharees Peninsula would benefit from a more formal recognition of community-led initiatives, adequate resourcing, and the creation of mechanisms and forums that facilitate the exchange of technical and policy knowledge to support inclusive and informed decision-making.
Costs and benefits
The solutions implemented by the Maharees Conservation Association are cost-effective due to the extensive involvement of local volunteers and efficient use of a wide range of funding sources. Funding was primarily provided by the Kerry County Council and the National Parks and Wildlife Service (NPWS). Additionally, a wide range of other funding opportunities has been used (e.g., Creative Ireland, LEADER, BIM Flag, The Heritage Council, Local Authority Waters Programme, Clean Coasts an Taisce, Community Foundation of Ireland). Some solutions have also been supported through fundraising and private donations. The Climate Action Fund, provided by the Department of the Environment, Climate and Communications and administered by the local authority, now provides a systematic funding opportunity for coastal communities.
The cost of implementing solutions varies. For example, chestnut fencing to support the recovery of marram grass and enhance the stability of the dunes costs €20 per meter. This solution has also been implemented to prevent sand deposition on the road. The Kerry County Council has provided a total of €14,000 for fencing over the last nine years. Some sections of fencing have also been funded by the Maharees Conservation Association and the National Parks and Wildlife Service. The installation of the fences as well as subsequent maintenance activities have been performed by unpaid local volunteers. This reduces costs, but requires constant commitment from the local community for maintenance.
The implemented measures have led to various environmental, social and economic benefits. The restoration of degraded dunes improves the habitat conditions for protected species and contributes to decrease the vulnerability to erosional pressures. Regarding the social aspect, the involvement of schools, tourism businesses, visitors and residents improved the understanding of the challenges and built a shared responsibility for ecosystem protection. Increased environmental awareness led to behavioural change and decreased unease between residents and visitors. Through strengthening the resilience of the Maharees Peninsula and restoring the unique ecosystem, the initiative contributed to maintaining the attractiveness for tourism and recreational activities. In addition, new forms of tourism such as regenerative tourism and heritage tourism have been established. Sustainable tourism development therefore also secures income sources for the local economy.
Implementation time
Diverse solutions with various implementation times have been implemented by the Maharees Conservation Association since it was formed in 2016. In most cases, the nature-based solutions can be implemented within several days or weeks. For example, 20 volunteers built a 1 km long fence within 3 days. Planting marram grass on a 1 m² section approximately took 20 minutes for one person. However, longer timeframes were needed to plan the intervention, consider the interests of affected stakeholders, secure funding (e.g., through fundraising, applying for public funding) and engage local volunteers in the installation and maintenance of the solutions. Regenerative tourism initiatives and awareness raising activities are concentrated in the summer months, with weekly events about the cultural and natural heritage of the Maharees.
Lifetime
The lifetime depends on the type of action. Chestnut fencing, that is taken down in winter and reinstalled in summer, has to be replaced approximately after 6 years due to the rusting of the wire. Permanent fences can have a longer lifetime. However, events like a big tidal swell can cause damage and require an earlier replacement. Moreover, maintenance efforts are needed to lengthen the lifetime (e.g., to prevent the fences from being buried by sand, they need to be dug out and raised).
Reference Information
Contact
Maharees Conservation Association
mahareesconservation@gmail.com
References
· Building Coastal and Marine Resilience in Ireland: https://www.epa.ie/publications/research/epa-research-2030-reports/Research_Report-429.pdf
· Case Study: Maharees Conservation Association CLG (Ireland): https://talx2020.github.io/documents/Case_Study_Maharees.pdf
· Successful implementation of community-led nature-based solutions for climate change adaptation on the Maharees, Co. Kerry, Ireland. A case study identifying the barriers and enablers of community-led partnerships to sustainably deliver nature-based solutions for climate change adaptation and biodiversity conservation in Ireland: https://researchrepository.universityofgalway.ie/entities/publication/abc9deda-2f7a-4179-8b05-79ad29eaa000
· Maharees Conservation Association CLG. Nature-based Solutions: Opportunities in a time of Biodiversity Crisis and Climate Emergency: https://cieem.net/wp-content/uploads/2021/05/Nature-based-Solutions-on-the-Maharees.pdf
Published in Climate-ADAPT: Oct 13, 2025
Please contact us for any other enquiry on this Case Study or to share a new Case Study (email climate.adapt@eea.europa.eu)
Case Studies Documents (2)
Language preference detected
Do you want to see the page translated into ?

","Coastal erosion,Community-based Adaptation,Regenerative tourism,sand dunes,Dune fencing","Biodiversity protection,Coastal areas,Cultural heritage,Tourism","Flooding,Storms,Sea Level Rise",,"Adaptation Measures and Actions,Societal aspects,Economic aspects,MRE,Nature-based solutions,Environmental aspects,Replication/upscaling potential",,,Ireland,,,
